1,144.683,179.661,177.285,163.932,58.483,186.378,172.733,253.078,213.504,143.979,161.628,89.528,129.116,176.549,205.029,173.46,95.707,75.841,21.478,43.141,25.792,68.253,110.021,54.155,28.992,41.492,32.958,37.628,126.497,114.358,177.297,104.792,207.223,185.654,172.789,216.135,134.263,106.823,81.624,114.439,223.88,131.842,224.311,128.899,99.809,49.349,36.933,40.594,69.469,108.344,100.894,47.57,40.844,49.19,168.031,159.151,195.824,215.436,85.203,68.101,60.091,45.637,25.457,23.3,125.884,195.161,118.556,126.201,136.085,115.338,84.341,90.39,225.675,190.067,142.33,183.944,108.483,119.092,214.484,34.55,52.205,74.186,37.672,28.271,39.908,40.499,39.068,58.709,68.513,70.489,132.359,90.064,26.462,23.405,25.492,24.564,23.828,44.381,36.596,12.434,13.585
2,144.233,180.11,177.598,163.191,57.179,186.423,173.221,253.114,213.775,144.906,162.345,89.942,128.955,175.645,204.898,172.55,95.968,75.522,21.133,42.68,24.904,67.676,110.307,54.606,29.542,42.264,32.128,37.63,126.297,114.758,176.472,103.49,206.437,184.86,172.256,215.992,133.88,105.948,81.448,114.617,223.411,131.909,224.323,128.236,99.64,50.137,36.161,40.182,69.528,107.508,100.268,48.257,41.521,48.909,167.141,158.825,195.838,215.374,85.88,66.549,59.744,45.971,25.554,22.878,125.388,195.119,118.63,124.144,134.711,115.059,83.932,89.807,225.473,189.898,142.028,183.31,106.441,118.788,214.108,33.905,52.425,74.98,37.589,28.345,39.735,40.159,39.574,58.292,67.733,70.485,132.358,90.085,25.187,23.285,25.619,24.341,23.754,45.105,36.897,11.876,12.339
3,144.46,180.437,177.485,162.919,57.913,186.567,173.587,253.077,213.984,145.605,163.123,90.262,129.849,175.953,205.813,173.26,95.251,75.328,21.465,41.99,24.825,67.55,110.423,54.549,29.867,42.339,32.703,38.716,126.289,114.358,176.493,103.966,206.687,185.327,171.969,216.338,134.02,104.937,80.728,114.506,223.489,132.589,224.663,129.12,99.447,50.031,36.912,40.852,69.359,107.786,100.888,47.774,42.663,49.508,167.577,159.98,195.93,215.236,86.353,66.566,60.172,45.662,25.525,22.437,125.888,194.398,118.059,124.201,134.475,114.764,83.154,88.994,225.957,189.793,141.985,183.327,107.539,118.894,214.302,33.004,51.499,74.487,37.591,28.247,38.878,40.763,39.57,57.968,68.113,71.096,132.582,90.323,25.115,24.175,25.567,24.081,24.169,45.587,35.701,12.408,12.552
4,144.356,180.941,177.658,162.718,58.187,187.197,174.061,253.1,214.273,145.843,164.007,90.732,129.887,175.318,206.705,172.33,94.236,74.437,20.966,42.254,25.564,66.943,110.05,54.149,28.831,42.627,32.177,38.309,125.109,114.455,175.405,103.612,207.042,184.466,172.221,215.841,132.807,103.723,80.324,114.275,223.278,132.127,224.758,129.503,99.324,49.131,36.272,39.764,69.296,107.237,99.962,47.856,42.8,48.281,166.721,159.799,195.451,214.866,86.26,66.078,58.913,45.381,25.518,21.626,124.334,194.363,118.344,123.149,133.376,113.433,82.814,88.355,226.186,189.408,142.401,183.001,105.493,118.93,213.925,32.785,51.279,74.605,38.689,27.325,38.098,40.406,39.655,56.994,66.672,69.818,132.461,90.035,25.8,23.623,26.113,24.268,22.894,45.289,36.229,11.577,11.708
5,143.866,181.057,177.031,161.536,58.3,186.828,174.525,253.044,213.779,146.483,164.384,90.891,129.556,175.043,206.613,172.493,93.596,74.265,21.469,41.647,24.626,66.223,110.351,54.261,28.517,41.207,32.413,38.027,124.556,114.372,174.394,102.665,206.244,184.203,171.546,215.561,131.369,102.385,79.696,113.041,223.004,132.742,224.737,129.416,99.2,49.307,37.084,39.874,69.352,106.756,99.582,47.742,42.303,48.077,165.528,159.806,194.795,214.453,86.979,65.179,58.744,45.663,25.885,21.927,123.849,193.782,118.204,121.598,131.173,112.398,81.031,86.824,226.377,189.362,140.68,181.479,104.947,118.073,212.366,32.989,51.06,74.525,38.141,26.708,37.872,40.722,38.427,57.243,65.446,70.2,132.198,89.092,25.278,22.846,24.701,24.056,22.003,45.226,36.201,12.221,12.186
6,143.883,180.863,176.673,160.79,58.344,187.406,175.194,253.016,214.601,145.793,165.326,91.328,130.034,174.022,207.918,171.563,93.096,72.648,20.951,40.515,25.073,66.385,109.595,54.399,29.017,40.906,32.307,39.141,124.004,115.029,173.299,102.13,205.42,183.887,171.594,215.19,130.187,101.434,78.846,113.658,222.49,131.733,225.052,129.694,99.17,49.528,36.473,39.954,69.454,106.574,99.497,47.852,41.807,47.804,165.001,159.218,194.944,213.83,86.663,64.398,57.196,45.807,24.834,22.251,121.959,193.608,117.825,120.173,129.499,110.853,81,86.496,226.325,188.803,140.422,180.658,104.187,117.631,212.564,32.249,50.63,73.404,37.538,27.219,37.043,40.406,38.694,54.561,65.187,69.046,131.779,88.69,24.81,23.007,24.845,23.634,23.282,44.634,35.146,12.258,12.073
7,143.482,181.148,177.615,159.947,57.894,187.898,175.814,253.056,215.012,147.146,165.587,92.275,129.489,173.613,208.06,171.742,92.45,71.814,20.712,41.022,24.824,66.494,110.385,55.297,29.363,40.521,32.05,38.337,122.88,113.802,172.93,101.52,205.015,183.374,171.532,214.497,129.063,100.271,78.061,112.101,221.901,131.603,225.559,130.246,98.427,49.529,35.546,38.492,69.976,105.388,97.547,47.439,41.86,47.346,163.665,158.87,194.468,213.419,86.466,64.704,57.824,45.89,25.08,21.462,121.447,192.904,118.024,118.736,128.837,110.862,80.402,86.504,226.679,188.575,139.747,180.12,103.909,117.376,211.508,32.686,50.531,73.56,37.225,26.705,36.697,39.802,38.383,56.515,65.367,70.277,131.545,87.566,24.159,23.194,25.339,23.955,23.168,44.982,36.084,11.992,12.239
8,142.883,180.663,176.707,159.507,58.256,186.911,176.113,252.974,214.753,147.015,166.521,92.983,129.71,173.318,208.263,171.496,92.612,72.311,20.666,41.068,23.311,65.038,110.434,53.947,29.015,41.221,32.123,39.027,121.827,113.504,172.264,101.543,205.184,183.01,170.962,214.561,127.927,99.75,77.668,111.99,221.744,131.88,225.313,129.286,97.872,49.672,35.366,38.573,69.191,105.078,97.525,46.23,41.76,46.859,162.997,159.182,194.281,213.628,86.566,63.635,56.937,45.718,25.087,21.958,120.809,192.411,117.042,117.006,127.538,109.634,79.74,85.292,226.849,188.112,139.589,179.443,103.183,117.837,211.016,32.12,49.574,73.415,37.601,26.454,35.867,39.494,37.919,55.536,64.177,69.237,131.666,87.585,24.468,23.606,25.244,23.979,23.211,44.156,35.97,11.587,12.066
9,142.725,180.832,176.846,158.809,58.155,187.573,176.242,252.907,214.577,147.613,166.742,92.322,130.115,172.317,208.712,170.825,91.3,70.837,21.159,40.582,23.767,64.86,110.955,55.137,29.489,40.691,30.716,38.714,121.458,113.222,171.507,100.381,204.284,182.374,170.715,214.316,127.108,97.729,76.73,111.486,220.79,131.226,225.691,129.497,97.978,49.324,35.316,38.591,69.007,103.606,96.285,47.131,40.848,47.63,162.339,158.693,193.687,212.98,86.61,63.919,55.468,45.987,24.93,22.413,121.115,192,117.108,116.554,126.764,108.8,78.408,84.673,226.814,187.289,139.451,177.676,101.522,116.588,210.821,31.848,49.458,73.034,38,26.05,35.944,38.723,38.244,55.359,62.705,69.264,130.413,87.443,24.546,22.31,25.028,23.303,22.518,44.432,35.342,11.328,11.493
10,142.737,180.841,176.265,158.883,57.978,187.148,176.884,252.894,214.652,147.847,167.445,93.148,130.088,172.377,209.004,170.828,91.256,71.353,20.701,39.511,24.221,64.934,109.786,54.869,28.651,39.473,30.427,37.758,120.83,112.666,171.313,99.623,203.895,181.719,170.647,213.715,125.835,97.415,76.165,110.856,220.736,131.23,225.507,129.066,97.176,49.218,34.494,37.487,69.447,104.563,96.711,46.655,41.851,46.659,162.152,158.708,193.803,212.434,85.831,63.119,55.911,46.61,24.648,22.225,119.703,191.311,117.003,114.803,125.508,108.05,78.169,84.151,226.983,187.19,137.772,177.309,101.225,116.757,209.818,32.286,48.867,72.807,37.096,26.719,35.704,38.701,37.134,55.425,63.61,69.63,131.133,86.93,24.543,23.867,24.556,23.676,22.848,43.975,36.298,11.906,11.93
